Start Time,GPS Time,End Time,Lattitude,Longitude,Altitude,Train Speed,Prev. Lat,Prev. Long,Delay,Download Speed,Upload Speed,Ping
1746258367.1847045,1746258367.2501361,1746258370.6586764,49.5751355,17.8482299,0,128,49.5748679,17.850676,0,5.42,0.0,476.03
1746258375.7881162,1746258375.8357346,1746258382.096838,49.5756508,17.8433452,0,128,49.5753886,17.8457785,0,2.9,0.0,787.71
1746258387.216715,1746258387.5859842,1746258391.738701,49.5761593,17.8384699,0,129,49.5759001,17.8409129,0,4.49,0.0,615.35
1746258396.8622074,1746258396.9037743,1746258401.81341,49.5766754,17.8335526,0,129,49.5764173,17.8360178,0,3.58,0.0,465.3
1746258406.9386013,1746258406.982272,1746258410.231621,49.5772182,17.8286258,0,129,49.576944,17.8310804,0,5.41,0.0,310.02
1746258415.3493936,1746258415.4177508,1746258418.8023527,49.5777897,17.8232161,0,129,49.5775389,17.8256728,0,5.52,0.0,505.05
1746258423.9384904,1746258423.981909,1746258428.0804572,49.5780449,17.820789,0,128,49.5777897,17.8232161,0,4.56,0.0,616.37
1746258433.2003872,1746258433.2628427,1746258437.385994,49.5785628,17.8159135,0,128,49.5782875,17.8183373,0,4.45,0.0,552.28
1746258442.5064087,1746258442.5527444,1746258446.3324175,49.5792449,17.8110963,0,127,49.5788268,17.8134769,0,4.81,0.0,477.68
1746258451.4557366,1746258451.498439,1746258456.0098312,49.5808227,17.8067491,0,132,49.5799547,17.8088547,0,4.01,0.0,543.61
1746258461.1851473,1746258461.2293608,1746258466.3227484,49.5826096,17.8025874,0,129,49.5817056,17.8046734,0,3.41,0.0,438.28
1746258471.456056,1746258471.5223403,1746258474.9358778,49.5843643,17.7984231,0,128,49.5834897,17.8005027,0,5.25,0.0,385.49
1746258480.1522148,1746258480.2258062,1746258483.5656757,49.5855022,17.7938002,0,129,49.5850922,17.7962051,0,5.31,0.0,349.7
1746258496.5592315,1746258496.6064816,1746258499.687736,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,6.14,0.0,491.96
1746258504.8038037,1746258504.8709521,1746258507.7120214,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,6.43,0.0,370.99
1746258512.9135437,1746258512.9832275,1746258516.054145,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,5.84,0.0,349.63
1746258521.1920059,1746258521.2342486,1746258524.6515067,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,5.85,0.0,699.9
1746258529.7705834,1746258529.8428166,1746258537.1954758,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,2.41,0.0,772.6
1746258542.3166602,1746258542.3828654,1746258546.2400408,49.5851999,17.7869331,0,100,49.585388,17.7885419,0,4.63,0.0,426.42
1746258551.356071,1746258551.4128919,1746258555.71692,49.5841125,17.7745095,0,34,49.5840796,17.7758519,0,4.26,0.0,574.01
1746258560.8434446,1746258560.8801765,1746258564.8448315,49.5842083,17.7732481,0,25,49.5841691,17.7737865,0,4.54,0.0,464.12
1746258569.9603512,1746258570.0203197,1746258573.9664397,49.5842403,17.7727673,0,26,49.5842083,17.7732481,0,4.48,0.0,398.52
1746258579.1011748,1746258579.1667635,1746258585.6178195,49.5843221,17.7717999,0,25,49.5842762,17.7722899,0,2.66,0.0,468.14
1746258590.7319326,1746258590.9073007,1746258595.8242207,49.5844757,17.7702255,0,33,49.5844074,17.7708068,0,3.66,0.0,573.7
1746258600.939443,1746258600.9900517,1746258604.8161044,49.5846091,17.7688023,0,40,49.5845311,17.7695438,0,4.87,0.0,560.63
1746258609.9470518,1746258610.0189867,1746258614.0442264,49.5846793,17.7680369,0,40,49.5846091,17.7688023,0,4.29,0.0,323.66
1746258619.2153707,1746258619.2771006,1746258622.6989646,49.5848034,17.7664415,0,41,49.5847329,17.7672315,0,5.36,0.0,457.83
1746258627.825778,1746258627.8922374,1746258632.8870468,49.5849338,17.7648528,0,42,49.5848704,17.76565,0,3.69,0.0,693.02
1746258638.0021217,1746258638.0471296,1746258642.3603742,49.5849935,17.763065,0,42,49.5849809,17.7640402,0,4.17,0.0,499.02
1746258647.4821548,1746258647.5218835,1746258652.1257787,49.584908,17.761433,0,42,49.5849702,17.7622519,0,3.82,0.0,442.44
1746258657.2513392,1746258657.2911813,1746258661.731769,49.5846793,17.759818,0,43,49.5848101,17.7606205,0,3.91,0.0,376.17
1746258666.8792531,1746258666.991942,1746258670.8795483,49.584353,17.758383,0,45,49.584516,17.7590157,0,4.7,0.0,507.05
1746258675.9956443,1746258676.055475,1746258680.373852,49.5840611,17.7574573,0,44,49.584353,17.758383,0,4.11,0.0,453.82
1746258685.5321548,1746258685.5970566,1746258690.0138218,49.5834949,17.7559561,0,45,49.5837877,17.7566999,0,4.1,0.0,537.99
1746258695.158463,1746258695.2010694,1746258698.4962475,49.582877,17.7544674,0,47,49.5831612,17.7552233,0,5.3,0.0,297.07
1746258703.62522,1746258703.69428,1746258707.0097005,49.5821912,17.7530087,0,47,49.5825541,17.7537114,0,5.28,0.0,307.96
1746258712.1516788,1746258712.1959195,1746258715.4954422,49.5812544,17.7516109,0,48,49.5817969,17.7523403,0,5.31,0.0,304.66
1746258720.6810884,1746258720.7426863,1746258724.2754586,49.5807591,17.7510742,0,48,49.5812544,17.7516109,0,4.87,0.0,269.78
1746258729.4053936,1746258729.4754138,1746258732.7024791,49.5797013,17.7502424,0,45,49.580338,17.7506974,0,5.6,0.0,387.83
1746258737.8723567,1746258737.9386795,1746258741.1776557,49.5786134,17.749731,0,44,49.5791575,17.749955,0,5.35,0.0,268.71
1746258746.3078818,1746258746.372689,1746258749.5488822,49.5780596,17.7495861,0,45,49.5786134,17.749731,0,5.49,0.0,279.5
1746258754.673702,1746258754.845493,1746258758.727378,49.5769189,17.7495487,0,46,49.577494,17.7495292,0,4.44,0.0,305.91
1746258763.8682494,1746258763.9399674,1746258767.9782717,49.5757541,17.7497242,0,47,49.576342,17.7496257,0,4.98,0.0,847.78
1746258773.123768,1746258773.1693187,1746258777.9892175,49.5745761,17.7499342,0,49,49.5751639,17.7498231,0,3.62,0.0,425.25
1746258783.174994,1746258783.2440336,1746258786.4093091,49.5732846,17.7498398,0,54,49.5739575,17.7499542,0,5.72,0.0,387.41
1746258791.618597,1746258791.6856732,1746258795.9204676,49.5724252,17.7495673,0,60,49.5732846,17.7498398,0,4.19,0.0,444.12
1746258801.1925237,1746258801.262557,1746258805.22695,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,4.45,0.0,391.22
1746258810.45165,1746258810.5013206,1746258815.25118,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,3.74,0.0,499.3
1746258820.366988,1746258820.42918,1746258824.9788718,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,3.9,0.0,477.48
1746258830.0967655,1746258830.133447,1746258834.3607059,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,4.15,0.0,398.56
1746258839.4945323,1746258839.56899,1746258844.561429,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,3.58,0.0,551.65
1746258849.6969137,1746258849.7804835,1746258854.4963684,49.571692,17.7491641,0,60,49.5724252,17.7495673,0,3.69,0.0,414.26
1746258859.622375,1746258859.6846414,1746258863.2827103,49.5637588,17.7369307,0,77,49.5646308,17.7392867,0,5.06,0.0,459.4
1746258868.391164,1746258868.4570663,1746258872.2837956,49.5633178,17.7355495,0,78,49.5637588,17.7369307,0,4.6,0.0,375.24
1746258877.3906882,1746258877.4308991,1746258881.1977959,49.562488,17.7327252,0,82,49.5628821,17.7341837,0,5.05,0.0,617.79
1746258886.3080802,1746258886.3745089,1746258890.2153716,49.5618959,17.7294619,0,91,49.562217,17.7311343,0,4.73,0.0,480.89
1746258895.3346174,1746258895.604742,1746258900.8794816,49.561227,17.7259105,0,98,49.5615712,17.727726,0,3.27,0.0,410.42
1746258906.0098526,1746258906.0454528,1746258909.6470284,49.5604264,17.7222932,0,101,49.5608612,17.7241024,0,5.07,0.0,468.94
1746258914.7672188,1746258914.8074343,1746258919.5974395,49.560052,17.7204412,0,101,49.5604264,17.7222932,0,3.71,0.0,512.09
1746258924.707903,1746258924.7854373,1746258929.9465148,49.559341,17.7166882,0,100,49.5596923,17.7185689,0,3.46,0.0,568.52
1746258935.0560057,1746258935.0971231,1746258939.1897686,49.5586562,17.7129814,0,100,49.5590051,17.7148377,0,4.42,0.0,496.96
1746258944.2978425,1746258944.3669531,1746258949.5070431,49.5580553,17.7088779,0,99,49.5582526,17.7107683,0,3.71,0.0,852.99
1746258954.6162295,1746258954.6623142,1746258961.0921175,49.558406,17.7051,0,101,49.5581093,17.7069736,0,2.72,0.0,593.89
1746258966.2009387,1746258966.2740612,1746258972.6649635,49.5592278,17.6994576,0,99,49.5590067,17.7013393,0,2.67,0.0,448.9
1746258977.7721527,1746258977.84523,1746258985.371847,49.5590269,17.6960336,0,100,49.5592007,17.697541,0,2.23,0.0,404.44
1746258990.480681,1746258990.5652392,1746258997.4486442,49.557837,17.6922494,0,99,49.558502,17.693905,0,2.5,0.0,527.98
1746259002.5564122,1746259002.6351783,1746259009.5270004,49.5552941,17.6879997,0,98,49.5561638,17.689396,0,2.59,0.0,746.61
1746259014.6351533,1746259014.6893623,1746259019.2867196,49.5537004,17.685378,0,88,49.5544714,17.686658,0,3.95,0.0,571.08
1746259024.3943958,1746259024.4600606,1746259031.070941,49.5524578,17.682348,0,80,49.5530455,17.6840174,0,2.57,0.0,426.55
1746259036.1808999,1746259036.2465239,1746259043.1140437,49.5512836,17.6783227,0,74,49.5516672,17.6796344,0,2.47,0.0,436.66
1746259048.22221,1746259048.2884808,1746259053.7012951,49.5504974,17.6756585,0,75,49.5508898,17.6769773,0,3.42,0.0,764.48
1746259058.8114166,1746259058.853802,1746259065.357891,49.5497155,17.6730028,0,75,49.5501005,17.6743218,0,2.6,0.0,393.71
1746259070.470374,1746259070.5304608,1746259076.0299144,49.5489442,17.6703451,0,76,49.5493287,17.6716737,0,3.22,0.0,558.3
1746259081.138304,1746259081.2096086,1746259085.1435874,49.5481516,17.6676664,0,76,49.5485526,17.6690088,0,4.51,0.0,408.32
1746259090.2518613,1746259090.3252456,1746259095.901349,49.5473964,17.6650639,0,72,49.5477665,17.6663515,0,3.41,0.0,917.58
1746259101.0171356,1746259101.0680113,1746259105.035486,49.547011,17.6638347,0,70,49.547011,17.6638347,0,4.47,0.0,415.13
1746259110.147899,1746259110.1844206,1746259120.7350595,49.5460092,17.6614126,0,67,49.547011,17.6638347,0,1.58,0.0,514.87
1746259125.8444662,1746259125.891195,1746259130.9912791,49.5460092,17.6614126,0,67,49.547011,17.6638347,0,3.31,0.0,300.5
